Delivery_ID,Rider_Name,Location_Type,Distance_Km,Order_Time,Delivery_Time_Mins,Delivery_Location
1001,Tim,Apartment,0.4,11:57:40,3,White Water (Downtown)
1002,Tim,Apartment,2.7,12:21:30,22,North End
1003,Paul,House,2.2,12:29:36,18,Collister North
1004,Sammie,Apartment,0.4,13:04:41,3,White Water (Downtown)
1005,Sammie,Apartment,0.4,16:21:21,3,White Water (Downtown)
1006,Tim,Apartment,2.4,17:03:00,19,Garden City
1007,Tim,House,2.3,19:07:00,18,Collister North
1008,Sammie,House,1.8,11:40:50,14,Bogus Basin
1009,Sammie,House,0.9,12:01:12,7,Collister South
1010,Angel,Apartment,1.7,13:40:31,13,Collister North
1011,Angel,House,2.6,15:08:48,21,North End
1012,Paul,Apartment,2.2,16:45:33,18,White Water (Downtown)
1013,Sammie,House,1.2,17:51:33,9,Collister South
1014,Angel,House,1.2,18:25:09,9,Collister South
1015,Sammie,Apartment,0.3,18:37:25,2,Collister North
1016,Angel,House,2.3,18:50:21,18,West Glennwood
1017,Angel,Business,3,19:05:17,25,West Glennwood
1018,Sammie,Apartment,3.2,20:23:02,27,Garden City
1019,Paul,Apartment,2.1,11:44:50,17,Garden City
1020,Tim,Business,0.9,13:33:59,7,Collister South
1021,Tim,House,2.9,14:32:51,24,West Glennwood
1022,Angel,Apartment,2.07,14:48:45,16,White Water (Downtown)
1023,Paul,House,1.8,15:16:34,14,Collister North
1024,Tim,House,3,15:59:22,25,North End
1025,Angel,Apartment,2.5,16:51:22,20,White Water (Downtown)
1026,Tim,Apartment,2.5,17:02:27,20,White Water (Downtown)
1027,Angel,Apartment,2.5,17:21:31,20,White Water (Downtown)
1028,Paul,House,3.8,17:29:24,32,Bogus Basin
1029,Sammie,House,8.1,17:54:36,76,Hidden Springs
1030,Angel,Apartment,3.6,18:15:03,30,North End
1031,Sammie,House,1.3,18:49:32,10,Collister South
1032,Angel,House,3.2,18:50:10,27,Bogus Basin
1033,Angel,Apartment,1.7,19:08:33,13,White Water (Downtown)
1034,Sammie,Apartment,2.5,19:36:00,20,White Water (Downtown)
1035,Paul,House,0.9,11:36:25,7,Collister South
1036,Tim,House,1.5,16:41:48,12,Garden City
1037,Tim,House,8.2,20:10:24,77,Hidden Springs
1038,Angel,House,7.2,20:26:22,66,Hidden Springs
1039,Paul,House,1,12:34:13,8,White Water (Downtown)
1040,Tim,House,1.9,13:16:03,15,Collister North
1041,Tim,House,0.06,19:27:48,0,Collister South
1042,Paul,House,1.2,20:55:29,9,Collister South
1043,Paul,Apartment,2.5,21:12:29,20,White Water (Downtown)
1044,Sammie,Apartment,1.7,11:49:34,13,White Water (Downtown)
1045,Sammie,House,3.6,12:18:18,30,Bogus Basin
1046,Tim,Apartment,2.5,12:46:22,20,West Glennwood
1047,Tim,House,3.1,13:10:13,26,Garden City
1048,Sammie,House,2,18:43:30,16,Garden City
1049,Sammie,House,1.3,19:27:24,10,White Water (Downtown)
1050,Angel,Apartment,0.4,12:33:07,3,White Water (Downtown)
1051,Tim,House,2.2,13:03:14,18,Bogus Basin
1052,Angel,Apartment,0.3,16:39:27,2,White Water (Downtown)
1053,Paul,Apartment,2.2,16:44:16,18,Garden City
1054,Sammie,Apartment,0.6,18:07:46,4,White Water (Downtown)
1055,Angel,Apartment,0.3,18:40:11,2,White Water (Downtown)
1056,Sammie,House,1.1,19:30:25,8,Collister South
1057,Angel,Apartment,2.5,19:45:07,22,White Water (Downtown)
1058,Angel,House,2.5,11:46:56,22,Collister North
1059,Sammie,Apartment,1.3,12:01:01,11,Collister North
1060,Paul,Apartment,4.1,12:54:53,37,Bogus Basin
1061,Tim,Business,0.9,14:17:05,8,Collister South
1062,Tim,House,1.2,14:58:58,10,Collister North
1063,Angel,House,4.9,16:06:00,45,Bogus Basin
1064,Paul,House,0.8,17:17:58,7,Collister South
1065,Tim,Apartment,2.5,17:46:45,22,White Water (Downtown)
1066,Angel,Apartment,3,17:54:47,27,White Water (Downtown)
1067,Angel,House,2.7,18:57:10,24,North End
1068,Tim,Apartment,3.3,19:23:24,30,North End
1069,Paul,House,3.6,20:08:54,33,North End
1070,Paul,House,4.1,11:50:45,37,North End
1071,Sammie,Apartment,0.2,12:29:42,2,White Water (Downtown)
1072,Sammie,Hotel,2.9,12:55:29,26,White Water (Downtown)
1073,Tim,Hotel,3.1,14:58:58,28,Garden City
1074,Tim,House,0.9,15:32:59,8,Collister South
1075,Sammie,Apartment,4,16:12:21,36,North End
1076,Sammie,House,1,17:11:00,9,Collister South
1077,Angel,House,1.5,17:46:31,13,Collister South
1078,Tim,House,0.2,17:50:42,2,Collister South
1079,Angel,House,2.9,18:07:49,26,Bogus Basin
1080,Paul,House,1.3,18:22:49,11,Collister North
1081,Sammie,Apartment,2.2,18:41:02,20,White Water (Downtown)
1082,Angel,Apartment,3.8,19:09:22,35,Bogus Basin
1083,Sammie,House,2.8,11:33:33,25,Bogus Basin
1084,Angel,Apartment,3.7,12:10:49,34,North End
1085,Angel,House,1.6,13:15:18,14,Collister North
1086,Sammie,House,2.4,14:35:32,21,White Water (Downtown)
1087,Paul,House,2.4,15:14:30,21,North End
1088,Tim,House,2,15:58:50,18,Collister North
1089,Tim,Apartment,1.4,16:08:02,12,Collister North
1090,Angel,Business,3.7,16:21:23,34,North End
1091,Paul,House,2.6,17:04:54,23,Collister North
1092,Tim,Apartment,0.2,18:10:06,2,Collister North
1093,Sammie,Apartment,2.3,19:32:50,20,Garden City
1094,Tim,House,2.6,19:42:41,23,Collister North
1095,Tim,House,2.5,20:58:38,22,Collister North
1096,Sammie,Apartment,0.4,21:05:55,3,White Water (Downtown)
1097,Sammie,Apartment,3.5,21:12:55,32,White Water (Downtown)
1098,Angel,House,4.3,11:28:33,39,West Glennwood
1099,Tim,House,1.2,12:04:16,10,Collister North
1100,Angel,Business,3.7,15:28:30,34,White Water (Downtown)
1101,Paul,House,1.2,17:28:53,10,Collister South
1102,Angel,Business,2.2,18:24:14,20,Collister North
1103,Sammie,House,3.1,19:05:34,28,West Glennwood
1104,Paul,Business,3,11:39:14,27,Garden City
1105,Tim,House,1.2,12:20:46,10,White Water (Downtown)
1106,Tim,Hotel,3,14:43:16,27,Garden City
1107,Angel,Business,2.8,16:53:40,25,Garden City
1108,Paul,Apartment,2.7,18:24:57,24,North End
1109,Tim,Apartment,3.5,19:28:42,32,North End
1110,Sammie,Apartment,3.5,19:46:17,32,North End
1111,Sammie,Apartment,2.2,20:09:16,20,Garden City
1112,Paul,House,3.3,20:26:02,30,West Glennwood
1113,Angel,House,0.6,13:21:23,5,Collister South
1114,Angel,Apartment,2.7,13:46:26,24,West Glennwood
1115,Angel,House,0.9,14:35:56,8,Collister South
1116,Paul,House,3,15:56:21,27,West Glennwood
1117,Paul,House,3.8,16:18:31,35,North End
1118,Sammie,House,0.7,17:03:26,6,White Water (Downtown)
1119,Sammie,House,3.7,17:34:26,34,North End
1120,Tim,Apartment,0.4,19:01:15,3,White Water (Downtown)
1121,Tim,Apartment,1.1,19:27:59,9,White Water (Downtown)
1122,Sammie,House,0.4,12:49:13,3,Collister South
1123,Sammie,House,1.5,13:01:49,13,Collister South
1124,Angel,House,1.8,15:09:10,16,Bogus Basin
1125,Tim,Apartment,0.8,16:10:04,7,Collister South
1126,Angel,House,3.6,18:27:37,33,North End
1127,Paul,House,8.4,19:10:40,80,Hidden Springs
1128,Angel,House,2.8,19:50:13,25,Collister North
1129,Sammie,Hotel,2.7,20:09:54,24,White Water (Downtown)
1130,Paul,House,2.5,20:17:54,22,North End
1131,Tim,House,4.2,20:24:54,38,Bogus Basin
1132,Tim,Apartment,3.6,20:25:54,33,North End
1133,Angel,Apartment,1.1,20:39:54,9,Collister South
1134,Paul,Apartment,2.9,20:46:54,26,White Water (Downtown)
1135,Tim,House,1.3,12:10:43,11,Collister North
1136,Sammie,House,0.9,12:44:52,8,Collister North
1137,Sammie,Hotel,2.7,13:27:18,24,Garden City
1138,Paul,Apartment,3.3,16:19:34,30,North End
1139,Angel,House,2.3,17:21:33,20,North End
1140,Angel,House,8.4,17:31:54,80,Hidden Springs
1141,Angel,Apartment,2,18:22:26,18,North End
1142,Paul,Business,0.6,18:33:38,5,Collister South
1143,Paul,Apartment,2.5,18:39:22,22,White Water (Downtown)
1144,Sammie,House,1.3,18:48:26,11,Collister North
1145,Sammie,House,2.7,19:07:26,24,North End
1146,Tim,House,1.3,19:23:26,11,Collister North
1147,Tim,Apartment,3,11:37:52,27,Garden City
1148,Sammie,Apartment,2.5,11:50:16,22,White Water (Downtown)
1149,Sammie,Apartment,1.3,12:22:27,11,Collister North
1150,Angel,House,2.2,12:43:23,20,Collister North
1151,Tim,Apartment,0.7,12:44:09,6,Collister North
1152,Angel,House,0.6,14:24:47,5,Collister South
1153,Paul,House,3,15:52:00,27,Bogus Basin
1154,Angel,House,2.5,17:22:08,22,North End
1155,Angel,Apartment,2.5,18:14:51,22,White Water (Downtown)
1156,Angel,House,2.2,18:15:41,20,White Water (Downtown)
1157,Sammie,House,1.3,18:44:25,11,Collister South
1158,Angel,Apartment,3.2,18:49:43,29,North End
1159,Sammie,House,2.6,19:41:18,23,Bogus Basin
1160,Paul,Apartment,2.1,19:54:47,19,White Water (Downtown)
1161,Tim,Apartment,4.3,20:17:47,39,North End
1162,Tim,Apartment,0.6,20:22:47,5,Collister North
1163,Angel,Apartment,2.8,20:36:47,25,White Water (Downtown)
1164,Paul,Apartment,2.4,12:28:49,21,Garden City
1165,Tim,House,2.4,12:54:17,21,Collister North
1166,Sammie,Apartment,3,14:03:49,27,West Glennwood
1167,Sammie,Apartment,2.9,16:25:27,26,Bogus Basin
1168,Paul,Apartment,1.7,17:18:29,15,Collister South
1169,Angel,Apartment,2.5,18:45:28,22,Garden City
1170,Angel,Apartment,3,12:02:32,27,Bogus Basin
1171,Angel,Apartment,3,13:57:51,27,West Glennwood
1172,Paul,House,2.1,15:44:50,19,Collister South
1173,Paul,House,2.7,18:02:19,24,North End
1174,Sammie,Apartment,2,19:23:54,18,Garden City
1175,Sammie,Apartment,3.7,20:40:24,34,North End
1176,Tim,House,2.7,11:49:27,24,Garden City
1177,Tim,Apartment,1.4,12:51:19,12,White Water (Downtown)
1178,Sammie,Business,3,14:20:57,27,White Water (Downtown)
1179,Sammie,House,2.6,17:06:58,23,West Glennwood
1180,Angel,House,3.1,18:08:01,28,Garden City
1181,Tim,House,1.1,18:41:16,10,Collister North
1182,Angel,Apartment,2.2,19:27:23,21,North End
1183,Paul,Apartment,2.3,20:07:52,22,Collister South
1184,Angel,House,2.4,12:07:16,23,North End
1185,Sammie,House,1.8,12:50:05,17,North End
1186,Paul,Apartment,2.5,13:46:38,24,White Water (Downtown)
1187,Tim,House,2.8,15:27:26,27,White Water (Downtown)
1188,Tim,House,2.3,17:19:07,22,White Water (Downtown)
1189,Angel,Apartment,0.8,19:01:00,7,Collister North
1190,Paul,House,2.6,20:41:25,25,North End
1191,Tim,House,2.3,21:03:49,22,Garden City
1192,Sammie,Business,3,11:31:41,29,White Water (Downtown)
1193,Sammie,House,2.6,12:39:57,25,North End
1194,Paul,Apartment,3.5,13:05:06,35,West Glennwood
1195,Angel,Apartment,3.7,13:25:29,37,West Glennwood
1196,Angel,House,1.6,14:08:53,15,Collister North
1197,Angel,Apartment,2.7,16:32:20,26,Garden City
1198,Paul,House,4.3,17:19:38,44,Bogus Basin
1199,Paul,House,2.3,17:27:27,22,Garden City
1200,Sammie,House,2.2,17:48:45,21,North End
1201,Sammie,Apartment,2.1,18:18:27,20,Garden City
1202,Tim,Business,2.9,18:29:01,28,Garden City
1203,Tim,Apartment,2,19:11:50,19,White Water (Downtown)
1204,Sammie,Apartment,2.2,19:56:12,21,Garden City
1205,Sammie,House,2.7,20:20:00,26,Bogus Basin
