Order ID,OrderChannel,OrderDate,PizzaSize,PizzaType,SideOrder,OrderAmount($),Tip($),PaymentMethod,RiderName,LocationType, Distance(Km) ,OrderTime, DeliveryTime(Mins) ,DeliveryLocation
1001,Website,3-Jan-20,XLarge,mexicana,"Wings , Drink",28.75,2,Card,Tim,Apartment,0.4,11:57:40,3,White Water (Downtown)
1002,Website,3-Jan-20,XXL,ital_supr,"Wings,Drink, Pasta",42.21,3,Cash,Tim,Apartment,2.7,12:21:30,22,North End
1003,Website,3-Jan-20,Medium,the_greek,No Side,11.48,3,Card,Paul,House,2.2,12:29:36,18,Collister North
1004,Website,3-Jan-20,Large,four_cheese,"Wings , Drink",22.99,2,Card,Sammie,Apartment,0.4,13:04:41,3,White Water (Downtown)
1005,Website,3-Jan-20,Large,mediterraneo,"Wings , Drink",21.69,5,Card,Sammie,Apartment,0.4,16:21:21,3,White Water (Downtown)
1006,Website,3-Jan-20,Large,pepperoni,"Wings , Drink",21.63,2.37,Cash,Tim,Apartment,2.4,17:03:00,19,Garden City
1007,Website,3-Jan-20,Large,ital_supr,"Wings , Drink",23.48,2.52,Cash,Tim,House,2.3,19:07:00,18,Collister North
1008,Website,4-Jan-20,XLarge,hawaiian,"Wings , Drink",26.18,3,Card,Sammie,House,1.8,11:40:50,14,Bogus Basin
1009,Website,4-Jan-20,XLarge,spin_pestoach_supr,"Wings , Drink",26.78,4,Card,Sammie,House,0.9,12:01:12,7,Collister South
1010,Website,4-Jan-20,Medium,spin_pesto,Drink,12.87,5,Card,Angel,Apartment,1.7,13:40:31,13,Collister North
1011,Website,4-Jan-20,Medium,thai_ckn,Drink,13.95,2.05,Cash,Angel,House,2.6,15:08:48,21,North End
1012,Website,4-Jan-20,Large,spin_pestoach_supr,Wings,15.71,2,Card,Paul,Apartment,2.2,16:45:33,18,White Water (Downtown)
1013,Website,4-Jan-20,Large,four_cheese,Wings,19.8,2,Card,Sammie,House,1.2,17:51:33,9,Collister South
1014,Website,4-Jan-20,Large,hawaiian,Wings,15.72,2.28,Cash,Angel,House,1.2,18:25:09,9,Collister South
1015,Website,4-Jan-20,Large,pepperoni,"Wings , Drink",20.83,2.17,Cash,Sammie,Apartment,0.3,18:37:25,2,Collister North
1016,Website,4-Jan-20,XLarge,spin_pestoach_supr,"Wings , Drink",34.03,5,Card,Angel,House,2.3,18:50:21,18,West Glennwood
1017,Website,4-Jan-20,Large,ckn_alfredo,Wings,15.72,4.28,Cash,Angel,Business,3,19:05:17,25,West Glennwood
1018,Website,4-Jan-20,Large,classic_dlx,Wings,18.24,5,Card,Sammie,Apartment,3.2,20:23:02,27,Garden City
1019,Website,5-Jan-20,Medium,sicilian,No Side,11.48,1.52,Cash,Paul,Apartment,2.1,11:44:50,17,Garden City
1020,Website,5-Jan-20,Large,big_meat,Wings,18.9,1.1,Cash,Tim,Business,0.9,13:33:59,7,Collister South
1021,Call Center,5-Jan-20,XLarge,ckn_alfredo,"Wings , Drink",29.47,2,Card,Tim,House,2.9,14:32:51,24,West Glennwood
1022,Website,5-Jan-20,Large,peppr_salami,Wings,18.9,5,Card,Angel,Apartment,2.07,14:48:45,16,White Water (Downtown)
1023,Website,5-Jan-20,XLarge,mexicana,"Wings , Drink",27.63,3,Card,Paul,House,1.8,15:16:34,14,Collister North
1024,Website,5-Jan-20,Large,the_greek,"Wings , Drink",23.48,0,Card,Tim,House,3,15:59:22,25,North End
1025,Website,5-Jan-20,XLarge,veggie_veg,"Wings , Drink",32.67,3,Card,Angel,Apartment,2.5,16:51:22,20,White Water (Downtown)
1026,Call Center,5-Jan-20,Large,hawaiian,Wings,16.09,1,Card,Tim,Apartment,2.5,17:02:27,20,White Water (Downtown)
1027,Website,5-Jan-20,Large,thai_ckn,"Wings , Drink",22.25,2,Card,Angel,Apartment,2.5,17:21:31,20,White Water (Downtown)
1028,Website,5-Jan-20,Large,ital_supr,"Wings , Drink",20.02,10,Card,Paul,House,3.8,17:29:24,32,Bogus Basin
1029,Website,5-Jan-20,XLarge,thai_ckn,"Wings , Drink",27.35,4,Card,Sammie,House,8.1,17:54:36,76,Hidden Springs
1030,Call Center,5-Jan-20,Medium,calabrese,Drink,14.65,2,Card,Angel,Apartment,3.6,18:15:03,30,North End
1031,Website,5-Jan-20,XXL Pizza,cali_ckn,"Wings, Pasta, Salad",54.99,3,Cash,Sammie,House,1.3,18:49:32,10,Collister South
1032,Website,5-Jan-20,Large,southw_ckn,Wings,16.6,5,Card,Angel,House,3.2,18:50:10,27,Bogus Basin
1033,Website,5-Jan-20,Large,thai_ckn,"Wings , Drink",21,4,Card,Angel,Apartment,1.7,19:08:33,13,White Water (Downtown)
1034,Website,5-Jan-20,Large,veggie_veg_veg,Wings,19.9,2,Card,Sammie,Apartment,2.5,19:36:00,20,White Water (Downtown)
1035,Website,6-Jan-20,Large,spicy_ital,Wings,16.77,4,Card,Paul,House,0.9,11:36:25,7,Collister South
1036,Website,6-Jan-20,XXL,hawaiian,"Wings,Drink, Pasta",35.41,4,Card,Tim,House,1.5,16:41:48,12,Garden City
1037,Website,6-Jan-20,XLarge,ital_supr,"Wings , Drink",28.41,6.59,Card,Tim,House,8.2,20:10:24,77,Hidden Springs
1038,Website,6-Jan-20,Large,mediterraneo,"Wings , Drink",20.71,4,Card,Angel,House,7.2,20:26:22,66,Hidden Springs
1039,Call Center,7-Jan-20,Large,the_greek,Wings,16.73,3.27,Cash,Paul,House,1,12:34:13,8,White Water (Downtown)
1040,Website,7-Jan-20,XXL,veggie_veg,"Wings,Drink, Pasta",40.05,5,Card,Tim,House,1.9,13:16:03,15,Collister North
1041,Website,7-Jan-20,Medium,ital_supr,Drink,12.53,2.02,Cash,Tim,House,0.06,19:27:48,0,Collister South
1042,Website,7-Jan-20,Large,soppressata,Wings,17.31,2.69,Cash,Paul,House,1.2,20:55:29,9,Collister South
1043,Website,7-Jan-20,XLarge,thai_ckn,"Wings , Drink",32.67,4,Card,Paul,Apartment,2.5,21:12:29,20,White Water (Downtown)
1044,Website,8-Jan-20,Large,bbq_ckn,Wings,19.31,5.69,Cash,Sammie,Apartment,1.7,11:49:34,13,White Water (Downtown)
1045,Call Center,8-Jan-20,Large,big_meat,Wings,17.84,2.16,Cash,Sammie,House,3.6,12:18:18,30,Bogus Basin
1046,Website,8-Jan-20,Large,ckn_pesto,Wings,18.74,3,Cash,Tim,Apartment,2.5,12:46:22,20,West Glennwood
1047,Website,8-Jan-20,Large,five_cheese,Wings,19.78,2,Card,Tim,House,3.1,13:10:13,26,Garden City
1048,Website,8-Jan-20,Large,pepperoni,Wings,17.84,2,Card,Sammie,House,2,18:43:30,16,Garden City
1049,Website,8-Jan-20,XLarge,spicy_ital,"Wings , Drink",29.64,5,Card,Sammie,House,1.3,19:27:24,10,White Water (Downtown)
1050,Website,9-Jan-20,XLarge,spin_pestoach_supr,"Wings , Drink",25.24,2,Card,Angel,Apartment,0.4,12:33:07,3,White Water (Downtown)
1051,Call Center,9-Jan-20,XLarge,bbq_ckn,"Wings , Drink",27.69,5,Card,Tim,House,2.2,13:03:14,18,Bogus Basin
1052,Website,9-Jan-20,XLarge,ckn_pesto,"Wings , Drink",25.76,5,Card,Angel,Apartment,0.3,16:39:27,2,White Water (Downtown)
1053,Website,9-Jan-20,Large,mediterraneo,"Wings , Drink",21.43,3.57,Cash,Paul,Apartment,2.2,16:44:16,18,Garden City
1054,Website,9-Jan-20,Large,veggie_veg,Wings,18.88,0,Card,Sammie,Apartment,0.6,18:07:46,4,White Water (Downtown)
1055,Website,9-Jan-20,XLarge,spin_pesto,"Wings , Drink",29.47,5,Card,Angel,Apartment,0.3,18:40:11,2,White Water (Downtown)
1056,Website,9-Jan-20,Medium,pep_msh_pep,Drink,13.95,3.05,Cash,Sammie,House,1.1,19:30:25,8,Collister South
1057,Call Center,9-Jan-20,XLarge,the_greek,"Wings , Drink",33.7,4.3,Card,Angel,Apartment,2.5,19:45:07,22,White Water (Downtown)
1058,Website,10-Jan-20,Large,big_meat,Wings,17.57,5,Card,Angel,House,2.5,11:46:56,22,Collister North
1059,Website,10-Jan-20,Large,calabrese,"Wings , Drink",21.63,2,Card,Sammie,Apartment,1.3,12:01:01,11,Collister North
1060,Website,10-Jan-20,XLarge,cali_ckn,"Wings , Drink",25.58,4,Card,Paul,Apartment,4.1,12:54:53,37,Bogus Basin
1061,Website,10-Jan-20,Large,pepperoni,Wings,16.78,2,Card,Tim,Business,0.9,14:17:05,8,Collister South
1062,Website,10-Jan-20,Medium,prsc_argla,Drink,14.65,2,Card,Tim,House,1.2,14:58:58,10,Collister North
1063,Call Center,10-Jan-20,Medium,sicilian,Drink,12.87,0.13,Cash,Angel,House,4.9,16:06:00,45,Bogus Basin
1064,Website,10-Jan-20,XLarge,soppressata,"Wings , Drink",34.26,0.74,Cash,Paul,House,0.8,17:17:58,7,Collister South
1065,Call Center,10-Jan-20,Medium,spicy_ital,No Side,8.83,0.5,Card,Tim,Apartment,2.5,17:46:45,22,White Water (Downtown)
1066,Website,10-Jan-20,Medium,green_garden,Drink,14.65,0,Card,Angel,Apartment,3,17:54:47,27,White Water (Downtown)
1067,Website,10-Jan-20,Medium,hawaiian,Drink,12.54,2.46,Cash,Angel,House,2.7,18:57:10,24,North End
1068,Website,10-Jan-20,Medium,big_meat,Drink,12.54,1.5,Card,Tim,Apartment,3.3,19:23:24,30,North End
1069,Website,10-Jan-20,Large,ckn_pesto,Wings,15.44,2.75,Card,Paul,House,3.6,20:08:54,33,North End
1070,Website,11-Jan-20,Large,hawaiian,"Wings , Drink",21.53,4,Card,Paul,House,4.1,11:50:45,37,North End
1071,Website,11-Jan-20,Large,hawaiian,Wings,17.16,0,Cash,Sammie,Apartment,0.2,12:29:42,2,White Water (Downtown)
1072,Call Center,11-Jan-20,Medium,pep_msh_pep,No Side,11.86,5,Card,Sammie,Hotel,2.9,12:55:29,26,White Water (Downtown)
1073,Website,11-Jan-20,Large,pepperoni,Wings,15.72,4.28,Cash,Tim,Hotel,3.1,14:58:58,28,Garden City
1074,Website,11-Jan-20,Large,pepperoni,Wings,16.25,3.75,Cash,Tim,House,0.9,15:32:59,8,Collister South
1075,Website,11-Jan-20,XLarge,sicilian,"Wings , Drink",27.37,2,Card,Sammie,Apartment,4,16:12:21,36,North End
1076,Website,11-Jan-20,Medium,spicy_ital,No Side,9.36,1,Card,Sammie,House,1,17:11:00,9,Collister South
1077,Website,11-Jan-20,Large,spin_pesto,Wings,17.51,4,Card,Angel,House,1.5,17:46:31,13,Collister South
1078,Website,11-Jan-20,Medium,thai_ckn,No Side,11.47,1.99,Cash,Tim,House,0.2,17:50:42,2,Collister South
1079,Website,11-Jan-20,XLarge,veggie_veg,"Wings , Drink",28.44,2,Card,Angel,House,2.9,18:07:49,26,Bogus Basin
1080,Website,11-Jan-20,Large,napolitana,"Wings , Drink",23.13,5,Card,Paul,House,1.3,18:22:49,11,Collister North
1081,Website,11-Jan-20,XLarge,spin_pestoach_supr,"Wings , Drink",28.44,11.56,Cash,Sammie,Apartment,2.2,18:41:02,20,White Water (Downtown)
1082,Website,11-Jan-20,Large,five_cheese,Wings,15.44,2,Card,Angel,Apartment,3.8,19:09:22,35,Bogus Basin
1083,Website,12-Jan-20,Large,hawaiian,"Wings , Drink",24.8,5,Card,Sammie,House,2.8,11:33:33,25,Bogus Basin
1084,Website,12-Jan-20,Medium,pepperoni,Drink,12.53,2,Card,Angel,Apartment,3.7,12:10:49,34,North End
1085,Website,12-Jan-20,XXL,pepperoni,"Wings,Drink, Pasta",36.95,6.05,Card,Angel,House,1.6,13:15:18,14,Collister North
1086,Website,12-Jan-20,Large,bbq_ckn,Wings,18.47,4,Card,Sammie,House,2.4,14:35:32,21,White Water (Downtown)
1087,Call Center,12-Jan-20,Medium,cali_ckn,Drink,12.92,3.08,Card,Paul,House,2.4,15:14:30,21,North End
1088,Call Center,12-Jan-20,Large,four_cheese,Wings,15.71,2,Card,Tim,House,2,15:58:50,18,Collister North
1089,Website,12-Jan-20,XLarge,the_greek,"Wings , Drink",28.25,5,Card,Tim,Apartment,1.4,16:08:02,12,Collister North
1090,Website,12-Jan-20,XXL Pizza,pepperoni,"Wings, Pasta, Salad",97.18,5,Card,Angel,Business,3.7,16:21:23,34,North End
1091,Website,12-Jan-20,Medium,thai_ckn,Drink,14.65,3,Card,Paul,House,2.6,17:04:54,23,Collister North
