Order_ID,Order_Channel,Order_Date,Pizza_Size,Pizza_Type,Side_Order,Order_Amount,Tip,Payment_Method
1001,Website,1/3/2020,XLarge,mexicana,"Wings , Drink",28.75,2,Card
1002,Website,1/3/2020,XXL,ital_supr,"Wings,Drink, Pasta",42.21,3,Cash
1003,Website,1/3/2020,Medium,the_greek,No Side,11.48,3,Card
1004,Website,1/3/2020,Large,four_cheese,"Wings , Drink",22.99,2,Card
1005,Website,1/3/2020,Large,mediterraneo,"Wings , Drink",21.69,5,Card
1006,Website,1/3/2020,Large,pepperoni,"Wings , Drink",21.63,2.37,Cash
1007,Website,1/3/2020,Large,ital_supr,"Wings , Drink",23.48,2.52,Cash
1008,Website,1/4/2020,XLarge,hawaiian,"Wings , Drink",26.18,3,Card
1009,Website,1/4/2020,XLarge,spin_pestoach_supr,"Wings , Drink",26.78,4,Card
1010,Website,1/4/2020,Medium,spin_pesto,Drink,12.87,5,Card
1011,Website,1/4/2020,Medium,thai_ckn,Drink,13.95,2.05,Cash
1012,Website,1/4/2020,Large,spin_pestoach_supr,Wings,15.71,2,Card
1013,Website,1/4/2020,Large,four_cheese,Wings,19.8,2,Card
1014,Website,1/4/2020,Large,hawaiian,Wings,15.72,2.28,Cash
1015,Website,1/4/2020,Large,pepperoni,"Wings , Drink",20.83,2.17,Cash
1016,Website,1/4/2020,XLarge,spin_pestoach_supr,"Wings , Drink",34.03,5,Card
1017,Website,1/4/2020,Large,ckn_alfredo,Wings,15.72,4.28,Cash
1018,Website,1/4/2020,Large,classic_dlx,Wings,18.24,5,Card
1019,Website,1/5/2020,Medium,sicilian,No Side,11.48,1.52,Cash
1020,Website,1/5/2020,Large,big_meat,Wings,18.9,1.1,Cash
1021,Call Center,1/5/2020,XLarge,ckn_alfredo,"Wings , Drink",29.47,2,Card
1022,Website,1/5/2020,Large,peppr_salami,Wings,18.9,5,Card
1023,Website,1/5/2020,XLarge,mexicana,"Wings , Drink",27.63,3,Card
1024,Website,1/5/2020,Large,the_greek,"Wings , Drink",23.48,0,Card
1025,Website,1/5/2020,XLarge,veggie_veg,"Wings , Drink",32.67,3,Card
1026,Call Center,1/5/2020,Large,hawaiian,Wings,16.09,1,Card
1027,Website,1/5/2020,Large,thai_ckn,"Wings , Drink",22.25,2,Card
1028,Website,1/5/2020,Large,ital_supr,"Wings , Drink",20.02,10,Card
1029,Website,1/5/2020,XLarge,thai_ckn,"Wings , Drink",27.35,4,Card
1030,Call Center,1/5/2020,Medium,calabrese,Drink,14.65,2,Card
1031,Website,1/5/2020,XXL Pizza,cali_ckn,"Wings, Pasta, Salad",54.99,3,Cash
1032,Website,1/5/2020,Large,southw_ckn,Wings,16.6,5,Card
1033,Website,1/5/2020,Large,thai_ckn,"Wings , Drink",21,4,Card
1034,Website,1/5/2020,Large,veggie_veg,Wings,19.9,2,Card
1035,Website,1/6/2020,Large,spicy_ital,Wings,16.77,4,Card
1036,Website,1/6/2020,XXL,hawaiian,"Wings,Drink, Pasta",35.41,4,Card
1037,Website,1/6/2020,XLarge,ital_supr,"Wings , Drink",28.41,6.59,Card
1038,Website,1/6/2020,Large,mediterraneo,"Wings , Drink",20.71,4,Card
1039,Call Center,1/7/2020,Large,the_greek,Wings,16.73,3.27,Cash
1040,Website,1/7/2020,XXL,veggie_veg,"Wings,Drink, Pasta",40.05,5,Card
1041,Website,1/7/2020,Medium,ital_supr,Drink,12.53,2.02,Cash
1042,Website,1/7/2020,Large,soppressata,Wings,17.31,2.69,Cash
1043,Website,1/7/2020,XLarge,thai_ckn,"Wings , Drink",32.67,4,Card
1044,Website,1/8/2020,Large,bbq_ckn,Wings,19.31,5.69,Cash
1045,Call Center,1/8/2020,Large,big_meat,Wings,17.84,2.16,Cash
1046,Website,1/8/2020,Large,ckn_pesto,Wings,18.74,3,Cash
1047,Website,1/8/2020,Large,five_cheese,Wings,19.78,2,Card
1048,Website,1/8/2020,Large,pepperoni,Wings,17.84,2,Card
1049,Website,1/8/2020,XLarge,spicy_ital,"Wings , Drink",29.64,5,Card
1050,Website,1/9/2020,XLarge,spin_pestoach_supr,"Wings , Drink",25.24,2,Card
1051,Call Center,1/9/2020,XLarge,bbq_ckn,"Wings , Drink",27.69,5,Card
1052,Website,1/9/2020,XLarge,ckn_pesto,"Wings , Drink",25.76,5,Card
1053,Website,1/9/2020,Large,mediterraneo,"Wings , Drink",21.43,3.57,Cash
1054,Website,1/9/2020,Large,veggie_veg,Wings,18.88,0,Card
1055,Website,1/9/2020,XLarge,spin_pesto,"Wings , Drink",29.47,5,Card
1056,Website,1/9/2020,Medium,pep_msh_pep,Drink,13.95,3.05,Cash
1057,Call Center,1/9/2020,XLarge,the_greek,"Wings , Drink",33.7,4.3,Card
1058,Website,1/10/2020,Large,big_meat,Wings,17.57,5,Card
1059,Website,1/10/2020,Large,calabrese,"Wings , Drink",21.63,2,Card
1060,Website,1/10/2020,XLarge,cali_ckn,"Wings , Drink",25.58,4,Card
1061,Website,1/10/2020,Large,pepperoni,Wings,16.78,2,Card
1062,Website,1/10/2020,Medium,prsc_argla,Drink,14.65,2,Card
1063,Call Center,1/10/2020,Medium,sicilian,Drink,12.87,0.13,Cash
1064,Website,1/10/2020,XLarge,soppressata,"Wings , Drink",34.26,0.74,Cash
1065,Call Center,1/10/2020,Medium,spicy_ital,No Side,8.83,0.5,Card
1066,Website,1/10/2020,Medium,green_garden,Drink,14.65,0,Card
1067,Website,1/10/2020,Medium,hawaiian,Drink,12.54,2.46,Cash
1068,Website,1/10/2020,Medium,big_meat,Drink,12.54,1.5,Card
1069,Website,1/10/2020,Large,ckn_pesto,Wings,15.44,2.75,Card
1070,Website,1/11/2020,Large,hawaiian,"Wings , Drink",21.53,4,Card
1071,Website,1/11/2020,Large,hawaiian,Wings,17.16,0,Cash
1072,Call Center,1/11/2020,Medium,pep_msh_pep,No Side,11.86,5,Card
1073,Website,1/11/2020,Large,pepperoni,Wings,15.72,4.28,Cash
1074,Website,1/11/2020,Large,pepperoni,Wings,16.25,3.75,Cash
1075,Website,1/11/2020,XLarge,sicilian,"Wings , Drink",27.37,2,Card
1076,Website,1/11/2020,Medium,spicy_ital,No Side,9.36,1,Card
1077,Website,1/11/2020,Large,spin_pesto,Wings,17.51,4,Card
1078,Website,1/11/2020,Medium,thai_ckn,No Side,11.47,1.99,Cash
1079,Website,1/11/2020,XLarge,veggie_veg,"Wings , Drink",28.44,2,Card
1080,Website,1/11/2020,Large,napolitana,"Wings , Drink",23.13,5,Card
1081,Website,1/11/2020,XLarge,spin_pestoach_supr,"Wings , Drink",28.44,11.56,Cash
1082,Website,1/11/2020,Large,five_cheese,Wings,15.44,2,Card
1083,Website,1/12/2020,Large,hawaiian,"Wings , Drink",24.8,5,Card
1084,Website,1/12/2020,Medium,pepperoni,Drink,12.53,2,Card
1085,Website,1/12/2020,XXL,pepperoni,"Wings,Drink, Pasta",36.95,6.05,Card
1086,Website,1/12/2020,Large,bbq_ckn,Wings,18.47,4,Card
1087,Call Center,1/12/2020,Medium,cali_ckn,Drink,12.92,3.08,Card
1088,Call Center,1/12/2020,Large,four_cheese,Wings,15.71,2,Card
1089,Website,1/12/2020,XLarge,the_greek,"Wings , Drink",28.25,5,Card
1090,Website,1/12/2020,XXL Pizza,pepperoni,"Wings, Pasta, Salad",97.18,5,Card
1091,Website,1/12/2020,Medium,thai_ckn,Drink,14.65,3,Card
